    -4.12     -5.68
    -5.78     -7.92
    -2.30      4.84
     5.12     -3.95
    -7.26     -0.74
    -2.71      5.28
     5.13     -0.71
    -6.14      3.08
     3.04     -6.40
    -0.97      6.51
     3.32     -3.65
     4.20      1.44
    -6.39     -5.86
    -0.50     -3.22
    -0.44     -3.90
     2.59     -5.26
     5.11     -5.07
    -7.36      5.22
    -2.00      3.01
    -7.58      5.17
     5.97     -2.92
     0.35      6.62
     0.30     -0.02
     2.76      3.07
    -7.19      5.06
     2.43      2.71
     0.31      0.41
    -3.93      2.04
     0.08      3.00
    -1.06      0.45
     1.36      0.96
    -6.71      4.78
     7.34      1.79
     0.44      0.29
     0.53     -3.29
     6.10      6.87
     0.79     -0.46
    -2.69     -1.94
    -5.98     -7.84
     5.52      4.58
     7.66     -3.25
    -2.22     -2.34
     2.27      3.70
     6.77      3.94
    -6.89      0.92
    -7.31     -4.89
    -0.10     -1.22
     4.99     -2.03
    -1.75     -3.04
    -3.90      2.96
    -3.23      1.44
    -3.38      2.46
    -3.97      0.98
     7.93      1.54
    -5.27      2.27
    -6.36     -7.63
     2.21     -0.90
    -2.04     -1.22
     6.28     -5.89
     6.77      3.13
     2.08     -5.61
    -1.21      5.06
     6.62      0.97
     2.51     -7.46
    -4.84     -3.01
    -7.70      4.95
    -4.17      1.15
     1.25     -6.33
     0.05     -1.67
     5.09     -7.10
    -7.85     -6.57
    -4.47     -6.08
    -3.73     -0.17
    -5.76      5.97
     7.95      2.55
     6.37     -5.76
     5.19     -6.71
     3.01      0.19
     2.87      0.46
    -5.69      6.24
    -2.34     -2.13
     0.32      3.99
    -0.44     -1.17
    -6.78     -0.83
    -0.32      1.68
    -1.75      3.48
     3.07      1.05
    -5.96      6.37
     7.62     -7.52
    -2.28      1.33
     2.48     -7.59
    -2.44      3.61
     4.34      5.61
    -7.62      6.44
    -5.48     -4.86
    -6.24     -1.25
    -3.50     -5.50
    -0.23      0.25
     0.01     -7.45
    -6.06     -5.13
    -2.37     -7.54
    -5.30      4.85
    -2.49      3.86
     0.30      7.17
     2.27      4.90
     3.73      6.80
     0.18     -0.97
     4.05     -6.06
    -3.98     -6.04
    -1.41     -6.83
    -4.27      7.71
     3.14      5.34
     2.85     -1.18
    -2.15      2.49
    -1.56     -5.88
    -3.90      4.31
     7.94     -1.16
     1.00      4.61
     7.92      6.04
    -2.98     -3.34
     7.28      5.59
    -3.02      4.38
    -0.85     -4.88
     4.71      6.01
     4.71      5.90
    -4.94      0.75
     1.40      6.22
    -2.42     -4.97
    -6.35     -4.01
    -7.42     -2.32
     1.09      6.10
     6.60     -6.99
     7.52      6.25
    -7.19      1.94
     6.12     -0.09
     3.88     -0.39
    -3.86     -6.74
    -6.55     -1.18
     5.91     -6.86
     5.77     -5.12
     6.90      4.27
     4.83     -5.58
     4.28      0.04
     1.89     -1.71
    -1.62     -3.99
    -3.53      1.15
     7.57     -5.84
     4.76      3.31
    -1.12     -3.58
     7.69      1.08
    -5.17      5.99
    -0.30      6.57
     0.26     -7.40
    -2.64     -2.08
    -7.87     -4.30
     5.96      2.82
    -2.75      5.53
    -7.73      5.13
    -1.14     -6.63
    -1.88      4.86
    -6.18      6.07
    -1.35      2.58
     6.01      0.70
